user_id,item_id,predicted_rating
1,260,97.3009
1,1927,93.8175
1,804,81.9235
1,3,95.6280
1,1009,74.3447
1,2406,83.0874
1,1587,75.7474
1,3671,89.9174
1,2617,74.3988
1,3053,84.5005
1,2571,94.5783
1,1222,97.3403
1,2137,74.3569
1,1377,72.4559
1,2395,89.1985
1,2761,88.7986
1,2641,65.0739
1,2872,88.7893
1,1258,91.1038
1,2700,87.8927
2,333,74.6870
2,122882,72.4871
2,71535,72.8056
2,46970,71.1545
2,58559,76.1880
2,80489,72.3648
3,5764,69.8093
3,647,68.4429
3,6835,69.8093
3,5919,58.3235
3,2851,64.5475
3,2288,41.5579
3,5048,86.6453
3,4518,62.8744
4,106,69.8093
4,1291,76.3639
4,3408,72.4824
4,265,73.3174
4,52,67.4690
4,4347,71.2549
4,2467,72.9827
4,908,80.6362
4,345,70.5824
4,1304,83.4033
4,1923,72.6167
4,2959,78.3027
4,368,70.4790
4,1219,78.9440
4,4765,73.1421
4,1199,75.4066
4,4166,67.4450
4,1732,74.9245
4,21,70.3637
4,2858,73.1813
5,515,71.3913
5,1,75.8876
5,364,74.9482
5,608,78.9058
5,290,74.8391
5,261,74.0470
5,34,71.6301
5,318,82.8672
5,21,69.7798
6,349,72.0164
6,318,83.2115
6,775,69.8093
6,141,69.0265
6,348,70.8441
6,104,72.9505
6,327,65.8760
6,410,67.7715
6,165,73.0724
6,87,69.1939
6,366,70.5467
6,17,72.2672
6,1084,73.2061
6,222,70.2031
6,16,71.1617
6,416,68.4193
6,277,65.7798
6,460,70.0671
6,867,70.7426
6,316,68.7924
7,8528,70.4124
7,3623,55.7521
7,8636,73.3077
7,8360,66.6346
7,1517,66.6920
7,466,63.1023
7,8373,54.9561
7,1220,75.1306
7,7155,56.9413
7,8808,62.1344
7,6863,64.6319
7,31878,77.6947
7,1610,76.3279
7,1219,78.6817
7,4700,68.9702
7,45668,65.8212
7,8970,71.5322
7,27741,69.6655
7,6333,73.2225
7,8865,61.1583
8,356,80.3811
8,47,80.0567
8,231,62.0126
8,318,86.0940
8,454,72.3689
8,292,69.5796
8,32,78.3931
8,141,72.8025
8,380,68.7744
8,252,69.4627
9,5451,68.3022
9,923,79.4539
9,5890,73.1569
9,2901,71.9369
9,922,83.6399
9,6044,69.8093
9,1987,69.8093
9,5378,64.2943
9,3735,75.5930
9,5447,68.5139
10,597,69.6062
10,33679,65.8265
10,8533,61.1466
10,8969,69.1665
10,72720,66.1539
10,88810,68.2480
10,136020,68.1062
10,6377,70.0804
10,5943,74.8311
10,109374,61.2309
10,113394,69.8093
10,61250,75.0387
10,82167,62.9925
10,140110,67.6230
10,5377,61.3949
10,77841,69.8093
10,6942,68.5045
10,1028,66.8076
10,72330,69.8093
10,66203,64.6648
11,733,76.2390
11,1584,81.5899
11,1210,89.3698
11,170,76.4355
11,1438,63.9596
11,648,75.3699
11,1918,60.0293
11,493,80.9175
11,10,75.9500
11,457,86.4569
11,1693,73.4233
11,150,84.4741
11,1923,77.4271
12,2717,70.6410
12,2100,74.7535
12,838,79.7041
12,2072,71.9113
12,1876,71.8812
12,2581,72.5206
12,6942,76.5856
13,3717,68.1797
13,3624,69.8602
13,3798,69.6067
13,2174,72.8261
13,47,81.9484
13,3893,72.2370
13,305,66.3396
14,344,61.2594
14,477,70.1881
14,110,76.0645
14,540,67.2036
14,597,70.1161
14,153,64.5754
14,592,69.7386
14,4,67.4655
14,539,70.6880
14,105,68.2545
15,91529,73.9262
15,7438,74.0934
15,111759,72.5525
15,2329,77.7323
15,1,71.9163
15,1909,69.0845
15,1240,72.0452
15,115713,72.9596
15,1200,75.0275
15,293,75.3254
15,2571,79.3106
15,3949,75.2708
15,120466,69.5489
15,1198,76.9413
15,2028,75.9084
15,2011,67.5998
15,158,62.8573
15,160980,69.9422
15,4306,73.0706
15,4022,71.7481
16,1230,72.7668
16,78499,74.4979
16,913,73.2408
16,1136,75.5150
16,1299,72.2928
16,1617,73.6813
16,1203,74.2544
16,3429,72.1923
16,2858,74.7008
16,608,74.9488
16,3683,72.6062
16,4002,71.0571
16,1199,73.9469
16,912,75.2896
16,2707,69.8193
16,5782,70.6848
16,1260,70.0354
16,319,71.6695
16,27773,71.9543
16,2109,69.8595
17,260,86.9995
17,64839,77.2124
17,296,85.6296
17,5952,84.7304
17,527,87.5881
17,1193,85.5580
17,3681,82.9817
17,1240,81.2979
17,2717,68.2404
17,2858,80.7829
17,1093,73.7243
17,81932,78.0767
17,5618,86.2855
17,50,87.4700
17,5971,82.8461
17,2959,86.7256
17,1201,85.0554
17,541,83.0989
